E (GeV), px (GeV), py (GeV), pz (GeV)
5.0000000000e+02,-1.7545955071e+02,+7.4625817241e+01,+4.6221399345e+02
5.0000000000e+02,-1.1915391341e+02,+3.6521165016e+02,-3.2003068256e+02
5.0000000000e+02,+3.4557878894e+02,-2.2526404851e+02,+2.8253893777e+02
5.0000000000e+02,+1.5752063699e+02,-2.7172530478e+02,+3.8903656632e+02
5.0000000000e+02,+1.1508264661e+02,+3.6785966302e+02,+3.1848405776e+02
5.0000000000e+02,+3.1408768049e+02,+3.1302978410e+02,+2.3099377806e+02
5.0000000000e+02,+4.2162960992e+02,+6.7067429806e+01,+2.6024464292e+02
5.0000000000e+02,+4.3475309660e+02,+1.4647356873e+02,-1.9882676111e+02
5.0000000000e+02,-2.6745290689e+02,-4.1808275926e+02,-6.0601908215e+01
5.0000000000e+02,+3.0574624447e+02,+2.5657269025e+02,+3.0114204436e+02
5.0000000000e+02,+4.3164477234e+02,-2.5234751081e+02,+6.0545031508e-01
5.0000000000e+02,+4.2063368653e+02,-2.1954566359e+02,-1.5768273726e+02
5.0000000000e+02,-4.3981745739e+02,+2.1663395416e+02,+9.8118175451e+01
5.0000000000e+02,+1.5678351446e+02,-8.1740591218e+00,+4.7470933909e+02
5.0000000000e+02,+4.7980531233e+02,+8.8846735367e+01,-1.0904110301e+02
5.0000000000e+02,+5.2185518542e+01,-3.7436409292e+02,-3.2729961787e+02
5.0000000000e+02,-1.6118516596e+02,-1.5443977153e+02,-4.4739752068e+02
5.0000000000e+02,+1.6268652047e+02,-5.0868577847e+01,-4.7004502563e+02
5.0000000000e+02,-2.1858561277e+02,-2.2728600559e+01,+4.4911088038e+02
5.0000000000e+02,-4.3871474624e+02,+5.6689644992e+01,-2.3305041912e+02
5.0000000000e+02,-3.2231913434e+02,-1.7718457457e+02,+3.3869284676e+02
5.0000000000e+02,+1.4749430658e+02,-4.2518144343e+02,-2.1786007426e+02
5.0000000000e+02,-1.8860339493e+02,-4.0675601598e+02,+2.2130328772e+02
5.0000000000e+02,-4.3943176869e+02,-3.2214704307e+01,+2.3634461230e+02
5.0000000000e+02,-3.3805423812e+02,+3.6811732740e+02,+1.4345996985e+01
5.0000000000e+02,-2.5575339537e+02,-4.2790709158e+02,-3.8504077662e+01
5.0000000000e+02,-3.8971613806e+02,+1.6937323197e+02,+2.6349740474e+02
5.0000000000e+02,+2.8103369971e+02,+7.4107870566e+01,-4.0684754567e+02
5.0000000000e+02,+1.8053771055e+02,-3.5077710249e+02,-3.0717812700e+02
5.0000000000e+02,-3.6592247218e+02,-3.1672810301e+01,-3.3925568486e+02
5.0000000000e+02,+2.2718495587e+02,-2.6507051229e+02,+3.5794058391e+02
5.0000000000e+02,+2.7895679850e+02,+9.6434505240e+01,+4.0358435679e+02
5.0000000000e+02,+1.4698244240e+02,+1.1853538482e+02,+4.6297123716e+02
5.0000000000e+02,+2.4022794816e+02,+3.1526126623e+02,-3.0479125514e+02
5.0000000000e+02,-8.5551326567e+01,+4.9186835814e+02,+2.7264098278e+01
5.0000000000e+02,+2.5372825162e+02,-7.8211497902e+01,+4.2367650182e+02
5.0000000000e+02,-1.4231694183e+02,-9.5283946120e+01,+4.6974854971e+02
5.0000000000e+02,+1.6698354757e+02,-4.7116250020e+02,-1.0919501830e+01
5.0000000000e+02,-2.5423518034e+02,-1.0779909899e+02,+4.1682210786e+02
5.0000000000e+02,+8.5202032824e+01,+7.6814311045e+01,-4.8665903618e+02
5.0000000000e+02,+7.3159032513e+01,-4.5743591619e+02,+1.8814085365e+02
5.0000000000e+02,+4.6996810880e+01,+2.6484914029e+02,-4.2147725315e+02
5.0000000000e+02,-3.2852138347e+02,+1.6202256161e+02,-3.4032224788e+02
5.0000000000e+02,-3.9422892572e+02,-2.6329006120e+02,-1.5892998481e+02
5.0000000000e+02,+1.7569650547e+02,-1.3917565547e+02,+4.4694263296e+02
5.0000000000e+02,-3.8324633856e+02,+3.0912904385e+02,-8.6938601879e+01
5.0000000000e+02,-1.1355590832e+02,-6.0120923681e+01,-4.8320531091e+02
5.0000000000e+02,+4.2301873717e+02,+2.0835189371e+01,-2.6574025882e+02
5.0000000000e+02,+4.9856946602e+02,-1.4136779047e+01,+3.5006875085e+01
5.0000000000e+02,-3.4038760622e+02,-3.3054795281e+02,-1.5770596277e+02
5.0000000000e+02,-3.5565757108e+02,+1.7044973535e+00,+3.5142798564e+02
5.0000000000e+02,+2.1500621435e+02,+3.8378756293e+02,-2.3764737870e+02
5.0000000000e+02,-3.8746555054e+02,+3.7086625306e+01,+3.1383414670e+02
5.0000000000e+02,+1.6328126891e+02,+4.6861021687e+02,-6.1159906308e+01
5.0000000000e+02,+3.5574511977e+02,-3.3540697832e+01,+3.4973886490e+02
5.0000000000e+02,-1.2013756364e+01,+4.0540327448e+02,-2.9240502213e+02
5.0000000000e+02,-1.4316187663e+02,+4.1602879832e+02,+2.3753222585e+02
5.0000000000e+02,+9.9024990869e+01,-9.7509726414e+01,+4.8029443752e+02
5.0000000000e+02,+1.0901920493e+02,-1.7044393804e+02,+4.5723136289e+02
5.0000000000e+02,+1.1490962999e+02,-4.0507919252e+02,+2.6963580436e+02
5.0000000000e+02,+2.5804208972e+02,-7.5808711525e+01,+4.2150226745e+02
5.0000000000e+02,+1.6297907416e+02,+2.2436951966e+02,-4.1604444751e+02
5.0000000000e+02,+1.8908157151e+02,+1.9222129896e+02,-4.2106528450e+02
5.0000000000e+02,+3.2962446096e+02,-3.3608454735e+02,+1.6849846896e+02
5.0000000000e+02,-1.7353748014e+02,-4.1753142402e+02,-2.1342234000e+02
5.0000000000e+02,-2.8637602455e+01,+1.5850803425e+02,+4.7334124379e+02
5.0000000000e+02,-4.8137187372e+02,-8.4751771362e+01,-1.0533327448e+02
